cell_id,insta_advertising,insta_beverage,insta_car,insta_entertainment,insta_family,insta_fashion,insta_food,insta_interiors,insta_landscape,insta_monochrome,insta_nature,insta_portait,insta_sky,insta_sports
52607,8,0,0,0,0,1,0,0,0,0,0,3,0,0
52609,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52610,5,0,0,1,2,1,1,2,0,0,0,1,0,2
52618,0,1,0,0,0,0,0,1,0,1,0,2,1,5
52620,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52621,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52622,0,0,0,0,0,1,0,0,0,0,1,0,0,2
52623,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52624,3,0,0,2,0,0,0,2,0,0,0,1,0,1
52625,0,1,0,0,0,0,0,0,0,0,0,0,0,3
52652,10,0,0,0,0,4,0,0,0,6,0,1,0,2
52897,1,0,0,5,0,1,0,0,0,0,0,2,0,0
52922,1,0,10,0,8,6,0,1,54,2,39,8,4,5
52930,0,0,0,0,0,0,0,0,0,1,1,0,0,0
52934,1,0,1,0,0,0,0,0,0,0,0,0,1,0
52938,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52941,1,1,5,1,0,0,0,0,0,0,0,0,0,3
52949,0,0,0,0,5,0,1,0,0,0,0,1,0,0
52951,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52956,0,1,1,0,0,2,0,0,1,0,0,0,0,0
52957,2,0,0,0,0,1,0,0,0,0,0,1,0,0
52958,7,0,0,0,1,1,10,0,0,2,0,5,2,3
52959,0,2,0,0,1,1,0,0,0,0,0,2,0,0
52963,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52970,0,0,0,0,0,4,0,0,0,0,0,3,0,0
52971,1,3,0,1,0,1,1,0,0,2,0,3,0,0
52972,1,0,0,0,0,1,1,0,0,0,0,0,0,0
52973,0,0,0,0,0,1,0,0,1,0,0,0,1,0
52982,0,0,0,0,0,1,0,1,0,0,0,0,0,1
52984,1,1,0,0,0,1,0,0,0,0,0,1,0,0
52987,1,0,0,0,0,1,0,0,0,0,0,1,0,0
52988,0,1,0,0,0,0,0,0,0,0,1,2,0,0
53013,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53258,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53263,0,0,1,0,8,1,0,1,4,0,6,4,0,0
53293,0,0,0,0,0,1,0,1,0,1,1,0,0,1
53299,1,1,13,0,4,1,11,2,11,1,7,5,8,0
53304,5,11,3,1,0,2,3,6,0,3,0,3,0,6
53305,1,0,3,0,0,3,0,0,1,1,1,0,1,6
53309,1,1,0,1,0,0,2,0,0,1,0,1,1,0
53310,2,1,0,0,0,1,6,2,0,2,0,0,0,0
53311,0,0,0,0,0,0,2,0,0,0,0,8,0,0
53317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53319,0,0,0,0,0,0,1,1,0,0,0,0,1,0
53320,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53322,7,0,0,0,0,1,0,0,0,2,0,0,0,1
53323,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53325,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53329,0,0,0,0,0,0,0,0,0,0,2,0,0,0
