population,income,averlight,places,b_diversity,dev_intensity,insta_cnt,cell_id,lng,lat,msa,beauty,culture,education,entertainment,finance,food,health,nightclub,office,other,public_use,recreation,religious,residential,restaurant_and_cafe,retail,service,transportation,b_price,b_opening_0,b_opening_1,b_opening_2,b_opening_3,b_opening_4,b_opening_5,b_opening_6,b_opening_7,b_opening_8,b_opening_9,b_opening_10,b_opening_11,b_opening_12,b_opening_13,b_opening_14,b_opening_15,b_opening_16,b_opening_17,b_opening_18,b_opening_19,b_opening_20,b_opening_21,b_opening_22,b_opening_23,b_opening_count
197,104639,13,8,1.07,33,0,99,-117.622989,33.449357,la,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
244,104639,12,0,0.0,14,0,100,-117.617609,33.449384,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,47105,14,11,1.47,25,0,101,-117.61223,33.449411,la,0,0,1,0,0,0,4,0,2,3,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,4,5,5,5,5,5,5,5,5,1,0,0,0,0,0,0,6
277,47105,16,1,0.0,33,0,102,-117.60685,33.449437,la,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,47105,16,2,0.69,34,0,103,-117.601471,33.449464,la,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,126154,19,24,0.79,47,0,104,-117.596091,33.44949,la,0,1,0,0,1,0,2,0,0,19,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,1,1,7,9,9,10,10,10,10,10,7,3,1,0,0,0,0,0,10
85,126154,15,47,1.12,43,0,105,-117.590712,33.449515,la,0,0,0,0,1,0,1,0,1,30,0,0,1,0,0,3,10,0,0.0,0,0,0,0,0,0,1,3,11,14,14,14,14,14,14,14,14,4,1,1,0,0,0,0,14
0,126154,7,2,0.69,11,0,106,-117.585332,33.449541,la,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
617,0,8,6,1.24,31,0,109,-117.666059,33.453643,la,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
708,66071,14,12,1.36,51,0,110,-117.66068,33.453672,la,0,0,0,0,2,1,0,0,1,6,0,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2
424,71573,16,7,0.6,60,0,111,-117.6553,33.4537,la,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0.0,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,4
282,71573,15,2,0.0,37,0,112,-117.64992,33.453729,la,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,105938,13,0,0.0,36,0,113,-117.64454,33.453757,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
